watchlist_id,user_id,watchlist_name,created_at
20000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000001,Tech Picks,2026-02-01T04:00:00Z
20000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000002,Banking Watch,2026-02-02T04:00:00Z
20000000-0000-0000-0000-000000000003,10000000-0000-0000-0000-000000000003,Blue Chips,2026-02-03T04:00:00Z
20000000-0000-0000-0000-000000000004,10000000-0000-0000-0000-000000000004,Penny Watch,2026-02-04T04:00:00Z
20000000-0000-0000-0000-000000000005,10000000-0000-0000-0000-000000000005,Metals,2026-02-05T04:00:00Z
20000000-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000006,US Tech,2026-02-06T04:00:00Z
20000000-0000-0000-0000-000000000007,10000000-0000-0000-0000-000000000007,Crypto,2026-02-07T04:00:00Z
20000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000008,FX,2026-02-08T04:00:00Z
20000000-0000-0000-0000-000000000009,10000000-0000-0000-0000-000000000009,Retirement,2026-02-09T04:00:00Z
20000000-0000-0000-0000-000000000010,10000000-0000-0000-0000-000000000010,Speculative,2026-02-10T04:00:00Z
