user_id,instrument_id,target_price,direction,is_active,created_at
10000000-0000-0000-0000-000000000001,1,1650.00,ABOVE,true,2026-03-01T04:00:00Z
10000000-0000-0000-0000-000000000001,2,2800.00,BELOW,true,2026-03-01T04:00:00Z
10000000-0000-0000-0000-000000000002,4,1700.00,ABOVE,true,2026-03-05T04:00:00Z
10000000-0000-0000-0000-000000000002,5,160.00,BELOW,false,2026-03-05T04:00:00Z
10000000-0000-0000-0000-000000000003,2,3000.00,ABOVE,true,2026-03-10T04:00:00Z
10000000-0000-0000-0000-000000000004,10,20.00,ABOVE,true,2026-03-12T04:00:00Z
10000000-0000-0000-0000-000000000005,3,4000.00,ABOVE,true,2026-03-15T04:00:00Z
10000000-0000-0000-0000-000000000006,7,200.00,ABOVE,true,2026-03-18T04:00:00Z
10000000-0000-0000-0000-000000000006,8,1.10,ABOVE,true,2026-03-18T04:00:00Z
10000000-0000-0000-0000-000000000007,9,5000000.00,BELOW,true,2026-03-20T04:00:00Z
